year,segment,manuf,purchases,range,vol,speed,noise,power,length,wingspan,maxw,market_size,price
1973,"M","Raytheon",17,1310,628,408.5,85.5,15.8,14.895,14.32,11340,2784,6.910418
1974,"S","Bombardier",48,1548.941,278.6618,465.5147,91.93089,13.22794,14.10691,10.96353,6593.309,3164,4.735973
1974,"S","Cessna",70,1328,205,357,78,9.79,13.26,14.35,5380,3164,2.66413
1974,"M","Dassault",22,1780,700,466,90,20,17.15,6.32,13000,3164,7.475408
1974,"S","Dassault",27,1900,251,492,82.2,14.4,13.86,13.08,8627.5,3164,6.944138
1974,"L","Gulfstream",11,3715,1269,505,90.9,50.7,24.36,20.98,29710,3164,21.32383
1974,"M","IAI",5,1840,347,470,81.2,13.8,15.93,13.65,9390,3164,4.020215
1974,"M","Other",27,1736.617,517.4468,458.0851,92.39362,16.2,14.98085,13.61,9614.787,3164,6.282448
1974,"M","Raytheon",19,1310,628,408.5,85.5,15.8,14.895,14.32,11340,3164,7.215868
1975,"S","Bombardier",54,2045.634,269.3293,467.8049,87.55244,14.40976,14.37927,11.51317,7381.829,3622,4.908924
1975,"S","Cessna",65,1328,205,357,78,9.79,13.26,14.35,5380,3622,2.774762
1975,"M","Dassault",10,1780,700,466,90,20,17.15,6.32,13000,3622,10.24599
1975,"S","Dassault",25,1900,251,492,82.2,14.4,13.86,13.08,8627.5,3622,7.626489
1975,"L","Gulfstream",12,3715,1269,505,90.9,50.7,24.36,20.98,29710,3622,22.01562
1975,"M","IAI",1,1992.143,347,469.8571,81.2,14.18571,15.93,13.65,9571.429,3622,4.317582
1975,"M","Other",16,1725.658,557.3684,472.8947,91.11316,17.59211,14.825,13.61,9995.395,3622,6.545298
1975,"M","Raytheon",4,1310,628,408.5,85.5,15.8,14.895,14.32,11340,3622,7.641337
1976,"S","Bombardier",68,2219.209,269.2558,468.6046,86.12558,14.84651,14.55372,11.70512,7725.116,4044,5.04955
1976,"S","Cessna",44,1328,205,357,78,9.79,13.26,14.35,5380,4044,2.868542
1976,"M","Dassault",8,1854.971,700,466.5294,89.6647,20.27941,17.23059,7.057647,13282.56,4044,10.12366
1976,"S","Dassault",19,1900,251,492,82.2,14.4,13.86,13.08,8627.5,4044,7.375365
1976,"L","Gulfstream",16,3715,1269,505,90.9,50.7,24.36,20.98,29710,4044,22.55813
