year,segment,manuf,purchases,range,vol,speed,noise,power,length,wingspan,maxw,market_size,price
1994,"L","Bombardier",19,3379.963,1035,460.5926,79.85185,40.71111,20.85,19.61,19635.67,10730,30.33316
1994,"M","Bombardier",17,2510,453,464,70.8,20.5,17.88,13.34,10659,10730,15.39431
1994,"S","Bombardier",9,1266,268,481,81.9,15.6,14.83,13.35,7030,10730,8.637612
1994,"M","Cessna",12,2353.79,441.6842,474.9442,78.55264,17.49263,17.16842,16.47684,10371.21,10730,15.72756
1994,"S","Cessna",81,1696.102,241.7449,405.2551,78.77551,11.21194,14.06765,15.23857,6241.271,10730,6.636269
1994,"L","Dassault",12,3860,1267,500,81.9,31.65,20.21,19.33,20640,10730,33.96664
1994,"M","Dassault",8,3048.056,844,477.6667,82.12222,25.43889,19.27555,19.06889,17249.05,10730,24.39997
1994,"L","Gulfstream",16,4220,1525,505,76.8,61.6,26.92,23.72,33520.5,10730,42.98706
1994,"M","IAI",1,3110,375,465,79.1,16.2,16.94,16.64,10660,10730,17.14417
1994,"M","Raytheon",14,3036.724,619.7241,458.4828,81.8931,21.19655,15.76966,15.66,12981.38,10730,19.83568
1994,"S","Raytheon",5,1751.5,305,460,88.6,13.9,14.75,13.25,7230.5,10730,10.43316
1995,"L","Bombardier",15,3413.48,1035,461.92,79.968,40.736,20.85,19.61,19827.56,11279,30.96514
1995,"M","Bombardier",13,2510,453,464,70.8,20.5,17.88,13.34,10659,11279,15.25119
1995,"S","Bombardier",11,1310.947,274.2105,480.3158,81.50526,15.60526,14.98684,13.41474,7149.369,11279,8.885715
1995,"M","Cessna",12,2394.095,444.6667,476.2509,78.27143,17.99667,17.38571,16.6119,10633.13,11279,16.28198
1995,"S","Cessna",88,1709.532,244.8807,408.6009,79.49082,11.34532,14.13936,15.27486,6323.293,11279,4.853864
1995,"L","Dassault",5,3902.727,1267,500,81.70909,31.81364,20.21,19.33,20755.36,11279,33.69843
1995,"M","Dassault",12,3041.977,979.8182,480.1818,80.06818,26.08864,19.98818,19.26591,16726.11,11279,24.61942
1995,"L","Gulfstream",14,4418.261,1537.522,504.4783,77.10435,61.94783,27.13478,24.13565,34116.11,11279,45.06216
1995,"M","IAI",3,3110,375,465,79.1,16.2,16.94,16.64,10660,11279,16.6248
1995,"M","Raytheon",7,2976.944,608.2222,456.6667,81.16667,20.83333,15.64556,15.66,12775.56,11279,19.34829
1995,"S","Raytheon",9,1751.5,305,460,88.6,13.9,14.75,13.25,7230.5,11279,10.60125
1996,"L","Bombardier",22,3816.103,1055,476.3333,81.20256,41.62308,21.09231,19.84179,22359.64,11362,29.38882
1996,"M","Bombardier",17,2510,453,464,70.8,20.5,17.88,13.34,10659,11362,15.05861
1996,"S","Bombardier",10,1366.471,281.8824,479.4706,81.01765,15.61176,15.18059,13.49471,7296.824,11362,9.006337
1996,"M","Cessna",18,2838.696,477.5652,490.6652,75.16957,23.55652,19.78261,18.10174,13522.25,11362,20.58483
1996,"S","Cessna",87,1694.776,242.514,405.4066,78.3514,11.21813,14.05935,15.23617,6235.051,11362,4.866137
1996,"L","Dassault",13,4204.667,1267,500,80.36,32.97,20.21,19.33,21570.6,11362,35.63256
1996,"M","Dassault",14,3041.813,983.5,480.25,80.0125,26.10625,20.0075,19.27125,16711.94,11362,29.04586
1996,"L","Gulfstream",17,4642.222,1551.667,503.8889,77.44815,62.34074,27.37741,24.60518,34788.93,11362,45.71704
1996,"M","IAI",7,3110,375,465,79.1,16.2,16.94,16.64,10660,11362,19.04889
1996,"M","Raytheon",14,2994.5,611.6,457.2,81.38,20.94,15.682,15.66,12836,11362,19.81683
1996,"S","Raytheon",20,1751.5,305,460,88.6,13.9,14.75,13.25,7230.5,11362,10.49422
1997,"L","Bombardier",23,4040.636,1129.545,479.5151,81.38181,43.98182,21.99545,20.70576,24491.12,11533,33.13514
1997,"M","Bombardier",21,2510,453,464,70.8,20.5,17.88,13.34,10659,11533,15.54309
1997,"S","Bombardier",15,1428.667,290.4762,478.5238,80.47143,15.61905,15.39762,13.58429,7462,11533,9.967505
1997,"M","Cessna",26,3078,495.2727,498.4236,73.5,26.54909,21.07273,18.90364,15077.3,11533,20.60302
1997,"S","Cessna",106,1661.985,232.6765,400.1985,77.09853,10.83588,13.88235,15.10897,5998.331,11533,5.72717
1997,"L","Dassault",20,4185.385,1267,500,80.44616,32.89615,20.21,19.33,21518.54,11533,38.12543
1997,"M","Dassault",19,3048.923,824.6154,477.3077,82.41539,25.34615,19.17385,19.04077,17323.69,11533,28.59847
1997,"L","Gulfstream",31,5522.857,1607.286,501.5714,78.8,63.88571,28.33143,26.45143,37434.5,11533,53.62701
1997,"M","IAI",7,3149.231,412.9231,461.9231,79.27692,17.02308,17.09616,16.72154,11056,11533,20.7266
1997,"M","Raytheon",16,2967.742,606.4516,456.3871,81.05484,20.77742,15.62645,15.66,12743.87,11533,17.68357
1997,"S","Raytheon",25,1751.5,305,460,88.6,13.9,14.75,13.25,7230.5,11533,10.58059
1998,"L","Bombardier",26,4217.2,1191,481.8,81.5,45.92,22.74,21.418,26199.4,11802,33.2295
1998,"M","Bombardier",19,2510,453,464,70.8,20.5,17.88,13.34,10659,11802,16.00377
1998,"S","Bombardier",31,1751.227,335.0454,473.6136,77.63864,15.65682,16.52318,14.04886,8318.637,11802,10.13972
1998,"M","Cessna",30,2948.085,485.6596,494.2117,74.40639,24.92447,20.37234,18.4683,14233.09,11802,20.50316
1998,"S","Cessna",121,1766.21,259.5739,406.0597,76.53807,11.93324,14.23278,15.46972,6529.142,11802,7.563017
1998,"L","Dassault",13,4173.333,1267,500,80.5,32.85,20.21,19.33,21486,11802,37.98521
1998,"M","Dassault",26,3044.311,927.6757,479.2162,80.85676,25.83919,19.71459,19.19027,16926.88,11802,28.53725
1998,"L","Gulfstream",40,5322,1594.6,502.1,78.49167,63.53333,28.11383,26.03033,36831.09,11802,52.37976
1998,"M","IAI",8,3182.857,445.4286,459.2857,79.42857,17.72857,17.23,16.79143,11395.43,11802,20.09983
1998,"M","Raytheon",37,2955,604,456,80.9,20.7,15.6,15.66,12700,11802,17.86011
1998,"S","Raytheon",35,1744.356,306.0222,459.8,88.33333,13.81778,14.73378,13.25689,7195.822,11802,10.41248
1999,"L","Bombardier",39,4782.055,1387.603,489.1096,81.87808,52.12055,25.12192,23.69658,31664.45,12141,45.68999
1999,"M","Bombardier",24,2510,453,464,70.8,20.5,17.88,13.34,10659,12141,16.38327
1999,"S","Bombardier",43,1801.559,342,472.8474,77.19661,15.66271,16.69881,14.12136,8452.305,12141,12.2437
1999,"M","Cessna",39,2977.115,487.8077,495.1529,74.20385,25.2875,20.52885,18.56558,14421.73,12141,20.74204
1999,"S","Cessna",152,1786.025,274.9748,405.7677,75.13838,12.43268,14.35369,15.61268,6767.775,12141,7.925076
1999,"L","Dassault",18,4227.826,1267,500,80.25652,33.0587,20.21,19.33,21633.13,12141,39.13731
1999,"M","Dassault",30,3044.728,918.3478,479.0435,80.99783,25.79457,19.66565,19.17674,16962.79,12141,29.31074
1999,"L","Gulfstream",37,5211.304,1587.609,502.3913,78.32174,63.33913,27.99391,25.79826,36498.54,12141,52.28382
1999,"M","IAI",11,3328.572,586.2857,447.8571,80.08572,20.78572,17.81,17.09429,12866.29,12141,25.79615
1999,"M","Raytheon",36,2955,604,456,80.9,20.7,15.6,15.66,12700,12141,18.20494
1999,"S","Raytheon",34,1737.522,307,459.6087,88.07826,13.73913,14.71826,13.26348,7162.652,12141,10.34848
2000,"L","Bombardier",12,4961.791,1450.161,491.4355,81.99838,54.09355,25.87984,24.42161,33403.42,12528,47.10525
2000,"M","Bombardier",6,2510,453,464,70.8,20.5,17.88,13.34,10659,12528,16.53081
2000,"S","Bombardier",24,1872.464,351.7971,471.7681,76.57391,15.67101,16.94623,14.22348,8640.608,12528,12.58511
2000,"M","Cessna",9,3047.286,493,497.4279,73.71429,26.165,20.90714,18.80071,14877.71,12528,21.60133
2000,"S","Cessna",73,1818.745,289.6138,405.8172,73.39449,12.92931,14.46841,15.7709,6989.931,12528,9.011304
2000,"L","Dassault",3,4271.25,1267,500,80.0625,33.225,20.21,19.33,21750.38,12528,38.93901
2000,"M","Dassault",4,3046.105,887.5789,478.4737,81.46316,25.64737,19.50421,19.1321,17081.26,12528,29.15792
2000,"L","Gulfstream",5,5243.673,1589.653,502.3061,78.37143,63.39592,28.02898,25.86612,36595.79,12528,52.66659
2000,"M","IAI",2,3401.428,656.7143,442.1429,80.41428,22.31429,18.1,17.24571,13601.71,12528,26.52705
2000,"M","Raytheon",6,2955,604,456,80.9,20.7,15.6,15.66,12700,12528,19.1834
2000,"S","Raytheon",17,1702.788,311.9697,458.6364,86.78181,13.33939,14.63939,13.29697,6994.061,12528,11.26546
